City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Olonkinbyen,70.9221,-8.7187,274.24,90,100,11.99,SJ,2024-05-06
1,El Calafate,-50.3408,-72.2768,270.56,64,0,2.59,AR,2024-05-06
2,Mbanza Kongo,-6.267,14.2401,295.07,87,100,1.07,AO,2024-05-06
3,Egilsstadir,65.2653,-14.3948,276.1,100,75,1.54,IS,2024-05-06
4,Grytviken,-54.2811,-36.5092,275.42,87,14,4.39,GS,2024-05-06
5,Aqadyr,48.2553,72.8483,277.82,72,100,1.08,KZ,2024-05-06
6,Adamstown,-25.066,-130.1015,294.89,67,65,8.65,PN,2024-05-06
7,Longyearbyen,78.2186,15.6401,269.06,68,75,1.54,SJ,2024-05-06
8,Edinburgh Of The Seven Seas,-37.0676,-12.3116,286.5,64,100,13.31,SH,2024-05-06
9,Yellowknife,62.456,-114.3525,287.27,55,40,5.14,CA,2024-05-06
10,Yaren,-0.5472,166.916,302.03,75,87,3.27,NR,2024-05-06
11,Palikir - National Government Center,6.9248,158.1611,303.62,79,100,4.63,FM,2024-05-06
12,Labrador City,52.9463,-66.9114,281.1,78,100,6.17,CA,2024-05-06
13,Port-Aux-Francais,-49.35,70.2167,278.88,76,98,10.76,TF,2024-05-06
14,San Patricio,28.017,-97.5169,299.17,77,91,4.87,US,2024-05-06
15,Itaituba,-4.2761,-55.9836,297.58,98,42,0.84,BR,2024-05-06
16,Juneau,58.3019,-134.4197,281.71,81,100,1.55,US,2024-05-06
17,Calama,-22.4667,-68.9333,288.42,25,0,3.09,CL,2024-05-06
18,Ust-Nera,64.5667,143.2,275.78,81,96,1.94,RU,2024-05-06
19,Sitka,57.0531,-135.33,281.09,71,100,2.06,US,2024-05-06
20,Blackmans Bay,-43.0167,147.3167,287.44,63,36,0.45,AU,2024-05-06
21,Punta Arenas,-53.15,-70.9167,274.21,69,0,3.6,CL,2024-05-06
22,Port-Cartier,50.0334,-66.8654,279.27,80,100,1.6,CA,2024-05-06
23,East London,-33.0153,27.9116,294.32,39,10,3.41,ZA,2024-05-06
24,Puerto Natales,-51.7236,-72.4875,272.24,85,99,1.64,CL,2024-05-06
25,West Island,-12.1568,96.8225,301.14,74,40,6.69,CC,2024-05-06
26,Bethel,41.3712,-73.414,283.91,89,100,0.45,US,2024-05-06
27,Qaqortoq,60.7167,-46.0333,272.62,72,0,0.5,GL,2024-05-06
28,Puerto Ayora,-0.7393,-90.3518,296.79,96,97,1.79,EC,2024-05-06
29,Malabar,-33.9667,151.25,294.99,64,40,10.29,AU,2024-05-06
30,Kabalo,-6.05,26.9167,294.0,79,90,1.74,CD,2024-05-06
31,Lagoa,39.05,-27.9833,289.82,94,100,10.15,PT,2024-05-06
32,Bodaybo,57.8506,114.1933,282.55,75,100,0.58,RU,2024-05-06
33,Whitehorse,60.7161,-135.0538,285.58,49,100,7.2,CA,2024-05-06
34,Albany,42.6001,-73.9662,284.15,84,100,0.45,US,2024-05-06
35,Isafjordur,66.0755,-23.124,274.24,75,6,4.15,IS,2024-05-06
36,Stanley,54.868,-1.6985,284.0,96,75,2.57,GB,2024-05-06
37,Stanthorpe,-28.6667,151.95,289.5,83,15,2.36,AU,2024-05-06
38,Port Elizabeth,-33.918,25.5701,291.66,47,0,4.12,ZA,2024-05-06
39,Mangalia,43.8,28.5833,283.52,72,0,4.23,RO,2024-05-06
40,Tura,25.5198,90.2201,295.66,83,63,0.9,IN,2024-05-06
41,Xiaoweizhai,26.1903,107.5125,293.88,78,100,1.18,CN,2024-05-06
42,Kone,-21.0595,164.8658,301.21,45,98,2.99,NC,2024-05-06
43,Papao,-17.75,-149.55,304.97,80,9,8.91,PF,2024-05-06
44,Queenstown,-31.8976,26.8753,287.61,39,4,3.47,ZA,2024-05-06
45,Bamboo Flat,11.7,92.7167,302.2,84,88,1.03,IN,2024-05-06
46,Waitangi,-43.9535,-176.5597,288.05,78,91,1.79,NZ,2024-05-06
47,Usogorsk,63.4106,48.6872,268.52,84,25,2.69,RU,2024-05-06
48,Wamba,8.9333,8.6,297.08,85,100,0.92,NG,2024-05-06
49,Papatowai,-46.5619,169.4708,282.19,59,75,6.8,NZ,2024-05-06
50,Hithadhoo,-0.6,73.0833,302.78,76,17,5.56,MV,2024-05-06
51,Ust'-Uda,54.1742,103.0304,287.59,44,100,4.97,RU,2024-05-06
52,Altai,46.3722,96.2583,286.81,14,87,7.15,MN,2024-05-06
53,Afaahiti,-17.75,-149.2833,304.08,83,69,8.69,PF,2024-05-06
54,Tanjungbalai,2.9667,99.8,300.74,77,13,1.33,ID,2024-05-06
55,Boa Vista,2.8197,-60.6733,301.14,83,40,1.54,BR,2024-05-06
56,Dalhart,36.0595,-102.5133,297.16,41,0,9.77,US,2024-05-06
57,Bilibino,68.0546,166.4372,272.59,70,10,1.01,RU,2024-05-06
58,Acarau,-2.8856,-40.12,299.32,90,100,4.16,BR,2024-05-06
59,Bardai,11.65,7.2333,299.37,54,59,4.07,NG,2024-05-06
